"JOHOR BAHRU","JOHOR BAHRU","MGP000017","CLINIC AUSTRALIA","37 JALAN KUNING 2, TAMAN PELANGI","80400","07-3319380","07-3319380","9.00AM-1.00PM,2.00PM-5.00PM,7.00PM-9.00PM","9.00AM-1.00PM,2.00PM-5.00PM","CLOSED","CLOSED","", 1.4779012, 103.7673592
"JOHOR BAHRU","JOHOR BAHRU","MGP000847","HORIZON FAMILY POLYCLINIC","NO. 2 JALAN HIJAUAN 4, HORIZON HILLS, NUSAJAYA,JOHOR BAHRU","79100","07-5539558","07-5539180","8.00AM-8.00PM(FRIDAY CLOSED AT6.00PM)","CLOSED","8.00AM-6.00PM","CLOSED","", 1.4584343, 103.6439021
"JOHOR BAHRU","JOHOR BAHRU","MGP000405","KLINIK ASIA DAYA","10 JALAN SAGU 1, TAMAN DAYA","81100","07-3547167","07-3341152","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","", 1.5435603, 103.7636103
"JOHOR BAHRU","JOHOR BAHRU","MGP000072","KLINIK ASIA TEBRAU","111 JALAN PERISAI, TAMAN SRI TEBRAU","80050","07-3333234","07-3341152","24 HOURS","24 HOURS","24 HOURS","24 HOURS","", 1.4877264, 103.7666985
"JOHOR BAHRU","JOHOR BAHRU","MGP000071","KLINIK ASIA SKUDAI","14 JALAN SHANBANDAR 2, TAMAN UNGKU TUN AMINAH11","81300","07-5567844","07-3341152","9.00AM-5.00PM","9.00AM-1.00PM","CLOSED","","", 1.5315026, 103.6684899
"JOHOR BAHRU","JOHOR BAHRU","MGP000616","KLINIK AUSTIN","63 JLN AUSTIN HEIGHT 3, TAMAN MOUNT AUSTIN,","81100","07-3597135","","MON-THU: 9.00AM-9.00PM FRI: CLOSED","9.00AM-9.00PM(CLOSED ON EVERY1ST & 3RD SAT OFTHE MONTH)","9.00AM-9.00PM","SELECTED PH","CLOSED ON EVERY1ST & 3RD SAT OFTHE MONTH.", 1.56089, 103.7802584
"JOHOR BAHRU","JOHOR BAHRU","MGP000835","FAMILY HEALTH CLINIC","NO. 23 JALAN AUSTIN HEIGHTS 8/3, TAMAN MOUNTAUSTIN, JOHOR BAHRU","81100","07-3645725","07-3645768","24 HOURS","24-HRS","24-HRS","24-HRS","", 1.5620594, 103.7770634
"JOHOR BAHRU","JOHOR BAHRU","MGP000068","KLINIK ASIA JAYA","4 JALAN DEDAP 15, TAMAN JOHOR JAYA","81100","07-3546677","07-3341152","9.00AM-5.00PM6.00PM-10.00PM","9.00AM-5.00PM6.00PM-10.00PM","9.00AM-5.00PM6.00PM-10.00PM","9.00AM-5.00PM6.00PM-10.00PM","", 1.5420298, 103.8003504
"JOHOR BAHRU","JOHOR BAHRU","MGP000009","24JAM POLIKLINIK YAP","114 JALAN PERWIRA 1, TMN TUN AMINAH SKUDAI,81300 JOHOR","81300","07-5583303","07-5583303","24 HOURS","24 HOURS","24 HOURS","24 HOURS","", 1.5225782, 103.6633698
"JOHOR BAHRU","JOHOR BAHRU","MGP000758","KLINIK ADHAM CAWANGAN MUTIARA RINI","NO.19 JALAN JASA 25, PRESINT JASA, TAMAN MUTIARARINI, SKUDAI JOHOR","81300","07-5570194","07-5570194","24 HOURS","24HOURS","24HOURS","24HOURS","", 1.516157, 103.6422242
"JOHOR BAHRU","JOHOR BAHRU","MGP000828","KLINIK FERLIZ","NO. 50G JALAN BESTARI 3/2, TAMAN NUSA BESTARI,SKUDAI, JOHOR","81300","07-2344720","07-2344702","9.00AM-10.00PM(CLOSED ON FRI)","9.00AM-10.00PM","9.00AM-10.00PM","CLOSED","", 1.4911821, 103.6618556
"JOHOR BAHRU","JOHOR BAHRU","MGP000815","KLINIK KELUARGA DAN SURGERI","NO 39G SUSUR LARKIN PERDANA 1, JOHOR BAHRU","80350","07-2340512","07-2340512","9.00AM-10.30PM","9.00AM-10.30PM","9.00AM-10.30PM","9.00AM-10.30PM","", 1.5013328, 103.7494073
"JOHOR BAHRU","JOHOR BAHRU","MGP000734","KLINIK LAI & SURGERI","72 JALAN INDAH 8/15, TAMAN BUKIT INDAH, JOHORBAHRU","81200","07-2324686","07-2324686","8.30AM-4.30PM,6.00PM-10.30PM(CLOSED ON TUESDAY)","8.30AM-4.30PM,6.00PM-10.30PM","8.30AM-4.30PM,6.00PM-10.30PM","CLOSED","", 1.4771401, 103.6507624
"JOHOR BAHRU","JOHOR BAHRU","MGP000689","KLINIK MEDIVIRON BUKIT INDAH","87 JALAN INDAH 15/2 TAMAN BUKIT INDAH 81200JOHOR BAHRU","81200","07-2369993","07-2369993","9.00AM-9.00PM","9.00AM-9.00PM","CLOSED","9.00AM-9.00PM","", 1.480069, 103.657094
"JOHOR BAHRU","JOHOR BAHRU","MGP000024","KLINIK FEDERAL","34 JALAN HARIMAU TARUM, CENTURY GARDEN","80250","07-3339928","07-3339 928","8.00AM-5.30PM,7.00PM-9.00PM","8.00AM-5.00PM","CLOSED","CLOSED","", 1.4809237, 103.7641247
"JOHOR BAHRU","JOHOR BAHRU","MGP000004","KLINIK MESRA PLAZA","21 JALAN BALAU, TAMAN MELODIES","80250","07-3310788","07-3310028","9.00AM-1.00PM2.00PM-5.00PM6.00PM-9.30PM","9.00AM-1.00PM2.00PM-5.00PM6.00PM-9.30PM","9.00AM-1.00PM2.00PM-5.00PM6.00PM-9.30PM","9.00AM-1.00PM2.00PM-5.00PM6.00PM-9.30PM","", 1.4889077, 103.7619748
"JOHOR BAHRU","JOHOR BAHRU","MGP000645","KLINIK MOHAN","NO 30A TAMAN DESA JAYA JALAN LEMBAH 3","81100","07-3575970","07-3575970","8.30AM-4.00PM,6.00PM-9.30PM(CLOSED ON WEDEVENING)","8.30AM-4.00PM,6.00PM-9.30PM","CLOSED","CLOSED","", 1.5542448, 103.8049936
